index,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
209,Lenovo,Celeron,Intel,Celeron Dual,Missing,4 GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,29999,37400,19,3.3,19,1
210,Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4 GB,LPDDR4X,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,25990,40490,35,3.7,84,16
211,Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4 GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,16990,24840,31,3.4,414,54
212,Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4 GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,24990,34890,28,2.8,70,16
213,acer,Predator,Intel,Core,Missing,4 GB,DDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,99990,149999,33,4.5,1336,186
214,acer,Aspire,Intel,Core i5,Missing,8 GB,DDR5,0 GB,512 GB,Windows,32-bit,4,Casual,Missing,0,No,No,50990,89999,43,4.4,10966,1185
215,acer,Spin,Intel,Core i5,Missing,8 GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,1,No,No,119990,124900,3,4,1,1
216,acer,Swift,Intel,Core i5,10th,8 GB,LPDDR4,0 GB,512 GB,DOS,32-bit,0,Casual,Missing,0,No,No,94190,124999,24,4.3,31,6
217,ASUS,ROG,Intel,Core i5,10th,8 GB,LPDDR4,0 GB,512 GB,DOS,32-bit,4,Casual,Missing,0,No,No,106167,120990,12,4.5,1881,241
218,DELL,Missing,Intel,Core i5,10th,8 GB,LPDDR4,0 GB,512 GB,DOS,32-bit,4,Casual,Missing,1,No,No,68090,69500,2,1.6,23,4
219,DELL,XPS,Intel,Core i5,10th,8 GB,LPDDR4,0 GB,512 GB,DOS,32-bit,0,ThinNlight,Missing,1,No,No,139990,155720,10,0,0,0
220,HP,15s,Intel,Core i5,10th,8 GB,LPDDR4,0 GB,512 GB,DOS,32-bit,0,ThinNlight,Missing,0,No,No,55990,63179,11,4,818,109
221,HP,Omen,Intel,Core i5,10th,8 GB,LPDDR4,0 GB,512 GB,DOS,32-bit,4,Casual,Missing,0,No,No,102551,0,0,0,0,0
222,lenovo,Ideapad,Intel,Core i5,10th,8 GB,LPDDR4,0 GB,512 GB,DOS,32-bit,0,Casual,Missing,0,No,No,72990,90000,18,4.2,204,19
223,Lenovo,Ideapad,Intel,Core i5,10th,8 GB,LPDDR4,0 GB,512 GB,DOS,32-bit,2,Casual,Missing,0,No,No,46990,62290,24,4.2,4428,569
224,MICROSOFT,Surface,Intel,Core i5,10th,8 GB,LPDDR4X,128 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,Yes,No,100190,104999,4,4.4,56,8
225,Smartron,t.book,Intel,Core i5,7th,8 GB,DDR3,128 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,Yes,No,52990,55999,5,3.5,30,9
226,MICROSOFT,Surface,Intel,Core i5,8th,8 GB,DDR3,128 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,Yes,No,91999,0,0,4.5,49,8
227,Smartron,t.book,Intel,Core i5,7th,4 GB,DDR3,128 GB,0 GB,Windows,64-bit,0,Casual,12.2,0,Yes,No,52990,55999,5,3.9,28,4
228,HP,Pavilion,Intel,Core i5,8th,8 GB,DDR4,128 GB,0 GB,Windows,64-bit,0,ThinNlight,13.3,1,No,No,76012,0,0,4.3,129,16
229,Lenovo,Ideapad,Intel,Core i5,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,2,No,Yes,49490,75390,34,4.3,365,35
230,lenovo,Yoga,Intel,Core i5,10th,8 GB,LPDDR4,0 GB,512 GB,DOS,32-bit,0,Casual,Missing,0,No,No,102990,139890,26,4.6,79,14
231,acer,Swift,Intel,Core i5,7th,8 GB,DDR3,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,86867,99999,13,4.4,39,3
232,LG,Gram,Intel,Core i5,10th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,No,No,76990,104000,25,4.5,15,7
233,LG,Gram,Intel,Core i5,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,76990,106000,27,0,0,0
234,ASUS,VivoBook,Intel,Core i5,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,48990,58990,16,0,0,0
235,LG,Gram,Intel,Core i5,10th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,No,No,62990,99000,36,4.6,68,20
236,DELL,Inspiron,Intel,Core i5,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,55990,71578,21,3.3,3,0
237,acer,Swift,Intel,Core i5,8th,8 GB,DDR3,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,Yes,Yes,81998,82799,0,4,14,3
238,LG,Gram,Intel,Core i5,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,76990,106000,27,0,0,0
