,title,book_id,author,publisher,price,review_cnt,review_score,pub_year,country
10031,낙원을 향해서,19742052,정종균,황금소나무,"3,600",null,null, 2012년 9월,한국
10033,중·고생이 꼭 읽어야 할 무정,14668957,이광수,다인미디어,"10,800",null,null, 2012년 1월,한국
10035,세월과 강물,13326070,마광수,책마루,"11,700",4,4, 2011년 9월,한국
10037,삼불망,11804573,우종철,승연사,"16,200",null,null, 2011년 5월,한국
10038,밀월,7832580,김채하,하얀새,"8,100",3,2.5, 2010년 9월,한국
10039,골드베르크 변주곡,7774395,서준환,뿔(웅진),"10,800",null,null, 2010년 9월,한국
10040,추적 1,7472483,이원호,스토리뱅크,"10,800",null,null, 2010년 7월,한국
10041,장용학 작품집,6749117,장용학,지만지고전천줄,"11,400",null,null, 2010년 3월,한국
10042,황제 1,5880591,박문영,평민사,"9,000",8,4.5, 2009년 11월,한국
10043,금사화 1,4903496,정명희,신영미디어,"8,100",null,null, 2009년 11월,한국
10044,금사화 2,4903510,정명희,신영미디어,"8,100",null,null, 2009년 11월,한국
10045,펄프픽션 세트 - 전6권,7776920,김종광,중앙books(중앙북스),"36,000",2,4.5, 2009년 7월,한국
10046,시간은 피다,4162072,이헌,로크미디어,"9,900",6,4, 2009년 6월,한국
10048,이별 다섯 번,3614216,김설원,동아일보사,"8,820",null,null, 2009년 4월,한국
10049,홍구범 전집,3432524,권희돈,현대문학,"10,800",null,null, 2009년 3월,한국
10050,미네르바,3186070,명운화,북포스,"8,820",null,null, 2009년 2월,한국
10051,사랑을 묻다,2560832,송은일,북스캔(대교북스캔),"9,720",8,4, 2008년 9월,한국
10052,사랑이 그대를 부르거든,2228014,오은실,디앤씨미디어(주)(D&C미디어),"8,100",1,4, 2008년 6월,한국
10053,무쇠탈 -상,2161810,민태원,현실문화,"11,250",null,null, 2008년 5월,한국
10054,가부루의 신화,1011309,김진송,푸른역사,"10,800",3,4.5, 2007년 11월,한국
10055,분녀,970679,이효석,종합출판범우,"16,200",null,null, 2007년 8월,한국
10056,아버지는 누구일까,897048,김종윤,자유지성사,"8,820",null,null, 2007년 3월,한국
